Zeitstempel,請問你是中文母語使用者嗎？,請問你接觸、學習中文幾年了呢，請以數字作答（ex. 1.5、6）？,請從「雙、副、對」中選擇你覺得最合適的量詞。 [耳機],請從「雙、副、對」中選擇你覺得最合適的量詞。 [翅膀],請從「雙、副、對」中選擇你覺得最合適的量詞。 [夫妻],請從「雙、副、對」中選擇你覺得最合適的量詞。 [鈕扣],請從「雙、副、對」中選擇你覺得最合適的量詞。 [眼鏡],請從「雙、副、對」中選擇你覺得最合適的量詞。 [肩膀],請從「雙、副、對」中選擇你覺得最合適的量詞。 [鼓棒],請從「雙、副、對」中選擇你覺得最合適的量詞。 [手套],請從「雙、副、對」中選擇你覺得最合適的量詞。 [刀叉],請從「雙、副、對」中選擇你覺得最合適的量詞。 [腳],請從「雙、副、對」中選擇你覺得最合適的量詞。 [手],請從「雙、副、對」中選擇你覺得最合適的量詞。 [耳朵],請從「雙、副、對」中選擇你覺得最合適的量詞。 [手掌],請從「雙、副、對」中選擇你覺得最合適的量詞。 [鴛鴦],請從「雙、副、對」中選擇你覺得最合適的量詞。 [耳環],請從「雙、副、對」中選擇你覺得最合適的量詞。 [靴子],請從「雙、副、對」中選擇你覺得最合適的量詞。 [情侶],請從「雙、副、對」中選擇你覺得最合適的量詞。 [筷子],請從「雙、副、對」中選擇你覺得最合適的量詞。 [角],請從「雙、副、對」中選擇你覺得最合適的量詞。 [鞋],請從「雙、副、對」中選擇你覺得最合適的量詞。 [枕頭],請從「雙、副、對」中選擇你覺得最合適的量詞。 [眉毛],請從「雙、副、對」中選擇你覺得最合適的量詞。 [兒女],請從「雙、副、對」中選擇你覺得最合適的量詞。 [骰子],請從「雙、副、對」中選擇你覺得最合適的量詞。 [拖鞋],請從「雙、副、對」中選擇你覺得最合適的量詞。 [腿],請從「雙、副、對」中選擇你覺得最合適的量詞。 [胳膊],請從「雙、副、對」中選擇你覺得最合適的量詞。 [高跟鞋],請從「雙、副、對」中選擇你覺得最合適的量詞。 [眼睛],鈕扣,刀叉,鴛鴦...35,手套,眼鏡,拖鞋,骰子...39,耳環,手,手掌,角,鴛鴦...44,枕頭,翅膀,骰子...47,耳朵,肩膀,腳,筷子,眉毛,腿,鞋,靴子,高跟鞋,眼睛,情侶,夫妻,兒女,耳機,胳膊,鼓棒,襪子
2021/01/07 1:33:32 AM GMT+8,是,NA,副,雙,對,對,副,對,對,雙,副,雙,雙,對,雙,對,副,雙,對,雙,對,雙,對,對,對,對,雙,雙,雙,雙,雙,對,副,對,對,副,雙,對,副,雙,雙,對,對,對,對,對,雙,對,雙,雙,對,雙,雙,雙,雙,雙,對,對,對,對,雙,對,雙
2021/01/07 1:54:28 AM GMT+8,是,NA,副,雙,對,對,副,雙,對,雙,副,雙,雙,雙,雙,對,對,雙,副,雙,對,雙,對,對,對,副,雙,雙,雙,雙,雙,副,副,對,雙,副,雙,副,副,雙,雙,對,對,對,雙,副,雙,對,雙,對,雙,雙,雙,雙,雙,雙,對,對,對,副,雙,對,雙
2021/01/07 1:58:01 AM GMT+8,是,NA,對,對,對,副,副,雙,對,雙,副,雙,雙,雙,對,對,副,雙,對,雙,對,雙,對,對,對,對,雙,雙,對,雙,對,對,副,對,雙,副,雙,對,對,雙,雙,對,對,對,對,對,對,對,雙,副,對,雙,雙,雙,雙,雙,對,對,對,副,對,對,雙
2021/01/07 2:19:01 AM GMT+8,是,NA,副,對,對,副,副,對,對,雙,副,雙,雙,對,對,對,副,雙,對,雙,雙,雙,副,對,雙,副,雙,雙,雙,雙,雙,副,副,對,雙,副,雙,副,副,雙,雙,雙,對,副,對,副,對,雙,雙,雙,對,雙,雙,雙,雙,雙,對,對,對,副,對,對,雙
2021/01/07 8:23:46 AM GMT+8,是,NA,副,對,對,對,副,對,副,副,副,雙,雙,雙,對,對,副,雙,對,雙,對,雙,副,對,對,副,雙,雙,對,對,雙,對,副,對,雙,副,副,副,副,雙,對,對,對,副,對,副,副,副,雙,雙,對,雙,雙,雙,雙,雙,對,對,對,副,副,副,雙
2021/01/07 9:23:20 AM GMT+8,是,NA,副,對,對,對,副,對,雙,雙,副,雙,雙,對,對,雙,對,雙,對,雙,對,雙,對,對,對,對,雙,雙,對,雙,雙,對,副,雙,雙,副,雙,對,對,雙,對,雙,對,對,副,副,對,雙,雙,雙,對,雙,雙,雙,對,對,雙,對,對,副,對,副,雙
2021/01/07 9:27:32 AM GMT+8,是,NA,副,雙,對,雙,副,雙,副,副,副,雙,雙,對,副,對,副,雙,對,雙,雙,雙,雙,對,對,副,雙,雙,雙,雙,雙,副,副,對,副,副,雙,副,對,雙,副,對,對,雙,雙,對,對,副,雙,雙,雙,雙,雙,雙,雙,副,對,對,對,副,對,副,副
2021/01/07 9:47:21 AM GMT+8,是,NA,副,雙,對,副,副,對,副,副,副,雙,雙,對,對,雙,副,對,對,雙,對,雙,對,對,雙,副,雙,雙,雙,雙,對,副,副,對,副,副,雙,副,副,雙,對,雙,對,對,雙,副,對,對,對,雙,對,雙,雙,雙,雙,雙,對,對,雙,副,對,副,雙
2021/01/07 9:58:44 AM GMT+8,是,NA,副,對,對,對,副,對,雙,副,副,雙,雙,對,雙,對,副,雙,對,副,雙,雙,副,雙,對,對,雙,雙,雙,雙,雙,對,副,對,雙,副,雙,副,副,雙,雙,雙,對,對,對,副,對,雙,雙,雙,雙,雙,雙,雙,雙,雙,對,對,對,副,雙,雙,雙
2021/01/07 11:14:52 AM GMT+8,是,NA,副,雙,對,對,副,對,副,雙,雙,雙,雙,副,對,對,對,雙,對,副,對,雙,副,副,對,對,雙,雙,雙,對,雙,對,副,對,副,副,雙,對,副,雙,對,雙,對,副,雙,副,副,對,雙,對,雙,雙,雙,雙,對,雙,對,對,對,副,對,雙,雙
