Zeitstempel,請問你是中文母語使用者嗎？,請問你接觸、學習中文幾年了呢，請以數字作答（ex. 1.5、6）？,請從「支、根、條」中選擇你覺得最合適的量詞。 [毛線],請從「支、根、條」中選擇你覺得最合適的量詞。 [筷子],請從「支、根、條」中選擇你覺得最合適的量詞。 [火柴],請從「支、根、條」中選擇你覺得最合適的量詞。 [草],請從「支、根、條」中選擇你覺得最合適的量詞。 [菸],請從「支、根、條」中選擇你覺得最合適的量詞。 [香腸],請從「支、根、條」中選擇你覺得最合適的量詞。 [柱子],請從「支、根、條」中選擇你覺得最合適的量詞。 [繩子],請從「支、根、條」中選擇你覺得最合適的量詞。 [棍子],請從「支、根、條」中選擇你覺得最合適的量詞。 [電線],請從「支、根、條」中選擇你覺得最合適的量詞。 [鏈子],請從「支、根、條」中選擇你覺得最合適的量詞。 [傘],請從「支、根、條」中選擇你覺得最合適的量詞。 [牙刷],請從「支、根、條」中選擇你覺得最合適的量詞。 [牙籤],請從「支、根、條」中選擇你覺得最合適的量詞。 [水管],請從「支、根、條」中選擇你覺得最合適的量詞。 [香蕉],請從「支、根、條」中選擇你覺得最合適的量詞。 [針],請從「支、根、條」中選擇你覺得最合適的量詞。 [箭],請從「支、根、條」中選擇你覺得最合適的量詞。 [頭髮],請從「支、根、條」中選擇你覺得最合適的量詞。 [弦],請從「支、根、條」中選擇你覺得最合適的量詞。 [筆],請從「支、根、條」中選擇你覺得最合適的量詞。 [蠟燭],請從「支、根、條」中選擇你覺得最合適的量詞。 [骨頭],請從「支、根、條」中選擇你覺得最合適的量詞。 [電線桿],請從「支、根、條」中選擇你覺得最合適的量詞。 [魚刺],請從「支、根、條」中選擇你覺得最合適的量詞。 [腰帶],請從「支、根、條」中選擇你覺得最合適的量詞。 [拐杖],請從「支、根、條」中選擇你覺得最合適的量詞。 [鞭子],請從「支、根、條」中選擇你覺得最合適的量詞。 [線],請從「支、根、條」中選擇你覺得最合適的量詞。 [辮子],繩子,鞭子,辮子,鏈子,柱子...38,柱子...39,棍子,筷子,水管,魚刺,傘,菸,蠟燭,拐杖,電線桿,電線,火柴,香腸,頭髮,牙籤,針,筆,箭,線,弦,牙刷,草,骨頭,香蕉,毛線...63,毛線...64,腰帶
2021/01/07 1:32:25 AM GMT+8,是,NA,條,支,根,支,支,條,根,條,根,條,條,支,支,根,根,根,根,支,根,條,支,支,根,支,根,條,支,條,條,條,條,條,條,條,根,根,根,支,條,根,支,根,支,根,根,條,根,條,根,支,根,支,支,條,條,支,支,支,根,條,條,條
2021/01/07 1:39:29 AM GMT+8,是,NA,條,支,支,根,根,條,根,條,支,條,條,支,支,根,根,根,根,支,根,條,支,根,根,根,根,條,根,條,條,條,條,條,條,條,根,根,根,支,條,根,支,根,根,根,根,條,支,根,根,根,根,支,支,條,條,支,根,根,根,條,條,條
2021/01/07 2:13:57 AM GMT+8,否,10,根,支,根,根,根,條,根,條,根,條,條,支,支,根,條,根,支,支,根,條,支,根,支,支,根,條,根,條,條,條,條,條,條,條,根,根,根,支,條,支,支,支,支,支,根,條,支,條,條,根,支,支,支,條,條,支,根,支,根,條,條,條
2021/01/07 2:20:26 AM GMT+8,是,NA,條,根,根,根,支,條,根,條,根,條,條,支,支,根,根,支,根,支,根,條,支,根,根,根,根,條,根,條,條,條,條,條,條,條,根,根,根,根,條,支,支,根,根,根,根,條,根,條,根,根,根,支,支,條,條,支,根,根,支,條,條,條
2021/01/07 9:24:16 AM GMT+8,是,NA,條,支,支,支,根,條,根,條,根,根,條,支,支,支,條,條,根,支,根,條,支,支,根,根,根,條,根,條,條,條,條,條,條,條,根,根,根,根,條,根,支,支,根,根,根,條,根,條,根,支,根,支,支,條,條,支,支,根,根,條,條,條
2021/01/07 11:39:10 AM GMT+8,是,NA,條,支,根,根,根,根,根,條,根,根,支,支,支,根,根,根,根,支,根,條,支,根,根,根,根,條,根,條,條,條,條,條,條,條,根,根,根,支,條,支,支,根,根,根,根,根,根,根,根,根,根,支,支,條,根,支,根,根,根,條,條,根
2021/01/07 12:34:03 PM GMT+8,是,NA,條,支,根,根,根,條,根,條,根,條,條,支,支,支,條,根,根,支,根,條,支,支,根,根,根,條,根,條,條,條,條,條,條,條,支,根,根,支,條,根,支,根,支,根,根,條,支,條,根,支,根,支,支,條,條,支,根,根,根,條,條,條
2021/01/07 12:59:45 PM GMT+8,是,NA,根,支,支,根,支,條,根,條,根,條,條,支,支,根,根,根,根,支,條,條,支,支,根,根,根,條,根,條,條,條,條,條,條,條,根,支,根,支,條,根,根,根,支,根,支,條,根,根,根,根,根,支,支,條,條,根,根,根,根,條,根,條
2021/01/07 1:07:38 PM GMT+8,是,NA,條,支,支,支,根,支,根,條,條,條,條,支,支,根,根,根,根,支,條,根,支,支,根,根,根,條,根,條,條,條,條,條,條,條,根,根,根,支,條,根,支,支,支,支,條,條,支,支,根,根,根,支,支,條,根,支,支,根,條,條,條,條
2021/01/07 1:15:34 PM GMT+8,是,NA,條,根,根,根,支,根,根,條,根,條,條,支,根,支,條,根,支,支,根,條,支,支,根,支,根,條,根,條,條,條,條,條,條,條,根,根,根,支,條,根,支,支,支,支,根,條,根,根,根,支,根,支,支,條,條,支,支,根,支,條,條,條
2021/01/07 2:24:29 PM GMT+8,是,NA,根,支,支,支,根,根,支,條,根,根,條,支,支,根,條,根,支,支,根,根,支,支,根,條,根,條,支,根,根,條,條,條,條,條,根,支,根,根,條,根,支,根,支,根,支,條,根,根,根,支,支,支,根,根,根,支,支,根,條,條,條,條
2021/01/07 2:27:40 PM GMT+8,是,NA,條,支,支,根,根,條,支,條,根,條,條,支,支,根,根,根,根,支,根,根,支,支,根,根,根,條,根,條,條,根,條,條,條,條,支,支,支,支,條,根,支,根,支,支,根,條,支,支,根,根,根,支,支,條,根,支,根,根,根,條,條,條
2021/01/07 2:31:15 PM GMT+8,是,NA,根,支,根,根,根,根,根,條,根,根,條,支,支,根,條,根,根,支,根,根,支,根,根,根,根,條,根,條,條,條,條,條,條,條,根,根,根,根,條,根,支,根,根,根,根,條,根,根,根,支,根,支,支,條,根,支,根,根,根,根,條,根
2021/01/07 2:32:53 PM GMT+8,是,NA,條,支,根,支,根,根,根,條,支,條,條,支,支,支,根,根,根,支,根,條,支,支,根,根,根,條,支,根,條,條,條,條,條,條,根,根,支,支,條,根,支,支,支,支,根,條,根,根,根,支,根,支,支,條,條,支,根,根,根,條,條,條
2021/01/07 2:35:05 PM GMT+8,是,NA,條,根,根,支,支,條,支,條,支,條,條,支,支,支,條,條,根,支,條,根,支,根,根,根,根,條,根,條,條,支,條,條,條,條,支,根,根,支,條,支,支,支,根,根,根,支,根,根,根,支,支,支,支,條,條,支,支,支,根,條,條,條
2021/01/07 2:35:39 PM GMT+8,是,NA,根,支,支,支,根,根,根,條,支,條,條,支,支,支,條,根,支,支,根,條,支,支,根,條,根,條,支,條,條,支,條,條,條,條,根,支,支,支,條,根,支,根,支,支,條,條,支,根,根,根,根,支,支,條,條,支,支,根,條,條,條,條
2021/01/07 4:30:28 PM GMT+8,是,NA,條,支,根,根,根,根,根,條,根,根,根,支,支,支,根,條,根,支,根,根,支,根,根,根,根,條,根,條,條,根,條,條,根,條,支,根,根,支,條,根,支,根,根,根,根,條,根,根,根,支,根,支,支,根,根,支,根,根,根,條,條,條
