Zeitstempel,請問你是中文母語使用者嗎？,請問你接觸、學習中文幾年了呢，請以數字作答（ex. 1.5、6）？,請從「雙、副、對」中選擇你覺得最合適的量詞。 [耳機],請從「雙、副、對」中選擇你覺得最合適的量詞。 [翅膀],請從「雙、副、對」中選擇你覺得最合適的量詞。 [夫妻],請從「雙、副、對」中選擇你覺得最合適的量詞。 [鈕扣],請從「雙、副、對」中選擇你覺得最合適的量詞。 [眼鏡],請從「雙、副、對」中選擇你覺得最合適的量詞。 [肩膀],請從「雙、副、對」中選擇你覺得最合適的量詞。 [鼓棒],請從「雙、副、對」中選擇你覺得最合適的量詞。 [手套],請從「雙、副、對」中選擇你覺得最合適的量詞。 [刀叉],請從「雙、副、對」中選擇你覺得最合適的量詞。 [腳],請從「雙、副、對」中選擇你覺得最合適的量詞。 [手],請從「雙、副、對」中選擇你覺得最合適的量詞。 [耳朵],請從「雙、副、對」中選擇你覺得最合適的量詞。 [手掌],請從「雙、副、對」中選擇你覺得最合適的量詞。 [鴛鴦],請從「雙、副、對」中選擇你覺得最合適的量詞。 [耳環],請從「雙、副、對」中選擇你覺得最合適的量詞。 [靴子],請從「雙、副、對」中選擇你覺得最合適的量詞。 [情侶],請從「雙、副、對」中選擇你覺得最合適的量詞。 [筷子],請從「雙、副、對」中選擇你覺得最合適的量詞。 [角],請從「雙、副、對」中選擇你覺得最合適的量詞。 [鞋],請從「雙、副、對」中選擇你覺得最合適的量詞。 [枕頭],請從「雙、副、對」中選擇你覺得最合適的量詞。 [眉毛],請從「雙、副、對」中選擇你覺得最合適的量詞。 [兒女],請從「雙、副、對」中選擇你覺得最合適的量詞。 [骰子],請從「雙、副、對」中選擇你覺得最合適的量詞。 [拖鞋],請從「雙、副、對」中選擇你覺得最合適的量詞。 [腿],請從「雙、副、對」中選擇你覺得最合適的量詞。 [胳膊],請從「雙、副、對」中選擇你覺得最合適的量詞。 [高跟鞋],請從「雙、副、對」中選擇你覺得最合適的量詞。 [眼睛],請從「支、根、條」中選擇你覺得最合適的量詞。 [毛線],請從「支、根、條」中選擇你覺得最合適的量詞。 [筷子],請從「支、根、條」中選擇你覺得最合適的量詞。 [火柴],請從「支、根、條」中選擇你覺得最合適的量詞。 [草],請從「支、根、條」中選擇你覺得最合適的量詞。 [菸],請從「支、根、條」中選擇你覺得最合適的量詞。 [香腸],請從「支、根、條」中選擇你覺得最合適的量詞。 [柱子],請從「支、根、條」中選擇你覺得最合適的量詞。 [繩子],請從「支、根、條」中選擇你覺得最合適的量詞。 [棍子],請從「支、根、條」中選擇你覺得最合適的量詞。 [電線],請從「支、根、條」中選擇你覺得最合適的量詞。 [鏈子],請從「支、根、條」中選擇你覺得最合適的量詞。 [傘],請從「支、根、條」中選擇你覺得最合適的量詞。 [牙刷],請從「支、根、條」中選擇你覺得最合適的量詞。 [牙籤],請從「支、根、條」中選擇你覺得最合適的量詞。 [水管],請從「支、根、條」中選擇你覺得最合適的量詞。 [香蕉],請從「支、根、條」中選擇你覺得最合適的量詞。 [針],請從「支、根、條」中選擇你覺得最合適的量詞。 [箭],請從「支、根、條」中選擇你覺得最合適的量詞。 [頭髮],請從「支、根、條」中選擇你覺得最合適的量詞。 [弦],請從「支、根、條」中選擇你覺得最合適的量詞。 [筆],請從「支、根、條」中選擇你覺得最合適的量詞。 [蠟燭],請從「支、根、條」中選擇你覺得最合適的量詞。 [骨頭],請從「支、根、條」中選擇你覺得最合適的量詞。 [電線桿],請從「支、根、條」中選擇你覺得最合適的量詞。 [魚刺],請從「支、根、條」中選擇你覺得最合適的量詞。 [腰帶],請從「支、根、條」中選擇你覺得最合適的量詞。 [拐杖],請從「支、根、條」中選擇你覺得最合適的量詞。 [鞭子],請從「支、根、條」中選擇你覺得最合適的量詞。 [線],請從「支、根、條」中選擇你覺得最合適的量詞。 [辮子],鈕扣,刀叉,鴛鴦...65,手套,眼鏡,拖鞋,骰子...69,耳環,手,手掌,角,鴛鴦...74,枕頭,翅膀,骰子...77,耳朵,肩膀,腳,筷子...81,眉毛,腿,鞋,靴子,高跟鞋,眼睛,情侶,夫妻,兒女,耳機,胳膊,鼓棒,襪子,繩子,鞭子,辮子,鏈子,柱子...99,柱子...100,棍子,筷子...102,水管,魚刺,傘,菸,蠟燭,拐杖,電線桿,電線,火柴,香腸,頭髮,牙籤,針,筆,箭,線,弦,牙刷,草,骨頭,香蕉,毛線...124,毛線...125,腰帶
2021/01/05 2:52:24 PM GMT+8,是,NA,副,雙,對,副,副,對,副,雙,副,雙,雙,對,對,對,雙,雙,對,雙,對,雙,副,雙,對,副,雙,雙,雙,雙,雙,根,支,根,支,支,根,根,條,根,條,條,支,支,根,根,根,根,支,根,根,支,支,根,根,根,條,支,條,條,條,副,副,對,副,副,雙,副,雙,雙,副,副,雙,副,對,副,雙,對,雙,副,雙,雙,雙,雙,雙,雙,對,對,對,對,雙,副,雙,條,條,根,根,根,根,根,根,根,根,支,支,根,根,根,根,根,根,根,根,根,支,支,根,條,支,支,根,根,條,條,條
2021/01/06 5:26:11 PM GMT+8,是,NA,副,雙,對,副,副,對,對,副,副,雙,雙,對,對,對,副,雙,對,雙,對,雙,對,副,雙,副,雙,雙,雙,雙,對,條,支,根,根,根,支,根,根,根,根,條,支,支,根,根,根,根,支,根,根,支,根,根,根,根,條,根,條,條,條,副,副,對,對,副,對,副,副,雙,對,對,對,對,雙,對,雙,對,雙,副,副,雙,雙,雙,雙,雙,對,對,雙,副,雙,對,雙,條,條,條,條,根,根,根,支,根,根,支,支,根,根,根,根,根,支,根,根,根,支,支,條,根,支,支,根,根,條,條,條
2021/01/07 1:38:04 AM GMT+8,是,NA,副,雙,對,對,副,對,對,雙,副,雙,雙,雙,雙,對,副,雙,對,雙,對,雙,對,對,對,對,雙,雙,雙,雙,雙,條,支,根,支,根,條,根,條,根,條,條,支,支,支,條,支,根,支,根,條,支,根,根,根,根,條,根,條,條,根,對,副,對,副,副,雙,對,副,雙,雙,對,對,對,對,對,雙,對,雙,雙,對,雙,雙,雙,雙,雙,對,對,對,雙,雙,雙,雙,條,條,條,條,根,根,根,支,條,根,支,根,根,根,根,條,支,條,根,根,根,支,支,條,條,支,支,根,根,條,條,條
2021/01/07 1:39:42 AM GMT+8,是,NA,副,雙,對,雙,副,對,雙,副,對,雙,雙,雙,對,對,副,雙,對,副,雙,雙,雙,副,對,副,雙,雙,對,雙,雙,條,支,支,根,根,根,根,條,根,條,條,支,支,根,條,根,根,支,根,條,支,支,根,根,根,條,支,條,條,條,雙,副,對,副,副,雙,副,副,雙,雙,對,對,副,雙,副,雙,對,雙,雙,對,雙,雙,雙,雙,雙,對,對,對,副,對,雙,雙,條,條,條,條,根,根,根,支,條,根,支,根,根,支,根,條,支,條,根,支,根,支,支,條,條,支,根,根,根,條,條,條
2021/01/07 1:40:13 AM GMT+8,是,NA,副,雙,對,對,副,對,雙,雙,副,雙,雙,雙,雙,對,副,雙,對,雙,雙,雙,副,雙,對,對,雙,雙,對,雙,雙,條,根,根,根,根,支,根,條,根,條,條,根,根,根,根,條,根,根,條,條,根,根,根,根,根,條,根,條,條,條,副,副,對,雙,副,雙,副,雙,雙,雙,雙,對,副,雙,副,雙,對,雙,雙,雙,雙,雙,雙,雙,雙,對,對,對,副,對,雙,雙,條,條,條,條,根,根,根,根,條,根,根,支,根,根,根,條,支,根,根,支,根,根,根,條,條,根,根,支,根,條,條,條
2021/01/07 1:53:25 AM GMT+8,是,NA,副,雙,對,副,副,雙,對,雙,副,雙,雙,對,雙,對,對,雙,對,雙,對,雙,副,對,對,對,雙,雙,雙,雙,雙,根,支,根,支,根,條,支,條,支,條,條,支,支,根,根,根,根,支,根,條,支,支,根,根,根,條,支,支,根,根,對,副,對,雙,副,雙,對,對,雙,雙,對,對,副,對,對,對,雙,雙,雙,雙,雙,雙,雙,雙,雙,對,對,對,副,雙,對,雙,條,條,支,條,支,支,根,根,條,根,支,根,根,支,根,條,根,條,根,根,根,支,支,根,條,支,支,根,根,條,條,條
2021/01/07 1:55:13 AM GMT+8,是,NA,副,對,對,對,副,對,雙,雙,副,雙,雙,對,對,雙,副,雙,對,雙,對,雙,對,對,對,對,雙,雙,雙,雙,雙,條,支,支,支,根,根,根,條,根,條,條,支,支,根,根,條,根,支,根,條,支,支,支,根,根,條,支,條,條,條,對,對,對,副,副,雙,對,副,雙,雙,對,對,對,對,副,對,對,雙,雙,對,雙,雙,雙,雙,對,對,對,對,副,對,副,雙,條,條,條,條,根,根,根,支,條,根,支,根,根,根,支,條,根,根,根,根,根,支,支,條,條,支,支,根,條,條,條,條
2021/01/07 2:00:09 AM GMT+8,是,NA,對,雙,對,對,副,雙,雙,雙,副,雙,雙,雙,雙,對,對,雙,對,雙,對,雙,對,對,對,副,雙,雙,雙,雙,雙,根,根,根,根,根,根,根,根,根,根,條,支,支,根,根,根,根,支,根,條,支,根,根,根,支,條,根,條,條,條,對,副,對,雙,副,雙,副,對,雙,雙,雙,對,對,雙,副,雙,雙,雙,雙,對,雙,雙,雙,雙,雙,對,對,對,副,對,副,雙,條,條,條,條,根,根,根,根,條,根,支,根,根,支,根,條,支,根,根,條,根,支,根,條,條,根,根,根,條,條,條,條
2021/01/07 2:09:22 AM GMT+8,是,NA,副,對,對,副,雙,副,副,副,對,雙,雙,雙,雙,雙,副,雙,對,副,副,副,對,對,對,副,雙,雙,副,雙,對,支,條,根,根,條,根,支,條,支,條,支,條,根,根,根,條,支,支,根,條,支,根,根,根,根,支,根,條,根,根,對,雙,副,副,對,雙,副,雙,對,雙,對,雙,對,對,對,對,副,對,雙,對,雙,雙,雙,雙,對,對,對,對,副,雙,副,雙,支,支,支,支,根,支,支,條,條,根,支,根,支,根,根,條,條,根,根,支,根,支,支,條,條,支,支,根,支,條,支,支
2021/01/07 2:09:47 AM GMT+8,是,NA,副,對,對,對,副,對,對,副,副,雙,雙,對,對,對,副,雙,對,雙,對,雙,副,雙,對,副,雙,雙,雙,雙,雙,條,支,根,支,支,支,根,條,根,條,條,支,支,支,條,根,根,支,根,條,支,支,根,支,根,條,支,根,條,根,對,副,對,副,副,雙,副,對,雙,對,對,對,副,對,副,雙,對,雙,副,雙,雙,雙,對,雙,雙,對,對,對,副,雙,對,雙,條,條,條,條,根,根,根,支,條,根,支,支,支,支,支,條,支,支,根,支,根,支,支,條,條,支,根,根,支,條,條,條
